#Parameters = {c0=299.792458; flare_diameter=134.84555017935; flare_length=68.649545476817; frequency_centre=5.5; frequency_maximum=6.6; frequency_minimum=4.95; metal_thickness=0; waveguide_diameter=41.6373568758; waveguide_length=54.507719636364; wavelength_centre=54.507719636364}
#"Theta / deg"	"Gain,Phi=90.0 []"
#--------------------------------
-180.00000000000	-6.8962490096080
-175.00000000000	-7.4283950245539
-170.00000000000	-9.0630868654005
-165.00000000000	-11.927980819567
-160.00000000000	-16.284132770336
-155.00000000000	-22.585329957258
-150.00000000000	-30.780400312193
-145.00000000000	-35.340454301650
-140.00000000000	-37.533753406120
-135.00000000000	-41.025729809033
-130.00000000000	-41.676046931876
-125.00000000000	-36.772264423852
-120.00000000000	-32.133433428683
-115.00000000000	-29.152035747538
-110.00000000000	-27.035844169840
-105.00000000000	-25.476716474182
-100.00000000000	-24.695746571677
-95.000000000000	-24.326293870477
-90.000000000000	-22.802214287172
-85.000000000000	-19.945561862447
-80.000000000000	-17.204580818930
-75.000000000000	-14.973335292317
-70.000000000000	-12.933751593030
-65.000000000000	-10.825229975613
-60.000000000000	-8.7568585393085
-55.000000000000	-6.9439614418380
-50.000000000000	-5.3851691434271
-45.000000000000	-3.7693877866715
-40.000000000000	-1.6094106747027
-35.000000000000	1.2701392337135
-30.000000000000	4.4890204416965
-25.000000000000	7.5620715169058
-20.000000000000	10.206418067953
-15.000000000000	12.303327506195
-10.000000000000	13.811001668497
-5.0000000000000	14.717184461706
0.0000000000000	15.019318461763
5.0000000000000	14.717183714950
10.000000000000	13.811001668497
15.000000000000	12.303327506195
20.000000000000	10.206417833405
25.000000000000	7.5620715169057
30.000000000000	4.4890195901726
35.000000000000	1.2701383787876
40.000000000000	-1.6094097934059
45.000000000000	-3.7693880455920
50.000000000000	-5.3851677349341
55.000000000000	-6.9439613854342
60.000000000000	-8.7568598029147
65.000000000000	-10.825229975613
70.000000000000	-12.933751378029
75.000000000000	-14.973334465270
80.000000000000	-17.204580060730
85.000000000000	-19.945563755914
90.000000000000	-22.802218416143
95.000000000000	-24.326294724387
100.00000000000	-24.695746975825
105.00000000000	-25.476717706021
110.00000000000	-27.035842517683
115.00000000000	-29.152031706820
120.00000000000	-32.133432117409
125.00000000000	-36.772288348816
130.00000000000	-41.676033040963
135.00000000000	-41.025736549933
140.00000000000	-37.533744399617
145.00000000000	-35.340453845540
150.00000000000	-30.780392510448
155.00000000000	-22.585330618649
160.00000000000	-16.284132751945
165.00000000000	-11.927980835895
170.00000000000	-9.0630868709619
175.00000000000	-7.4283968015659
180.00000000000	-6.8962490096080
