#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90.0 Abs (Port1, 5.4 GHz) []"
#------------------------------------------------
-180.00000000000	-5.9894265902667
-175.00000000000	-6.8771730497442
-170.00000000000	-6.5997232532782
-165.00000000000	-6.8779465609312
-160.00000000000	-10.186434522970
-155.00000000000	-23.460147422553
-150.00000000000	-13.821938546554
-145.00000000000	-10.895458086089
-140.00000000000	-11.557418049051
-135.00000000000	-10.752054958037
-130.00000000000	-11.663698195742
-125.00000000000	-13.440667644478
-120.00000000000	-13.362792155384
-115.00000000000	-12.489179847559
-110.00000000000	-11.397466624948
-105.00000000000	-10.113325932260
-100.00000000000	-10.216237476051
-95.000000000000	-9.3655600653053
-90.000000000000	-9.6761149667138
-85.000000000000	-8.3664501535624
-80.000000000000	-7.7118640624855
-75.000000000000	-6.1267136193833
-70.000000000000	-5.0202943971568
-65.000000000000	-3.9625352904785
-60.000000000000	-2.8222014683096
-55.000000000000	-1.8987806486163
-50.000000000000	-0.30815154848298
-45.000000000000	1.7625578020374
-40.000000000000	4.0925101225238
-35.000000000000	6.4414754055360
-30.000000000000	8.4432707735921
-25.000000000000	9.9676380362577
-20.000000000000	11.054483393941
-15.000000000000	11.832994739988
-10.000000000000	12.505198746998
-5.0000000000000	13.203791024581
0.0000000000000	13.834690648955
5.0000000000000	14.148178006895
10.000000000000	13.909176729448
15.000000000000	12.955577337314
20.000000000000	11.168683342780
25.000000000000	8.4223652272832
30.000000000000	4.5535613217688
35.000000000000	-0.27363309694959
40.000000000000	-3.3860611799059
45.000000000000	-2.6977695494577
50.000000000000	-1.8716853758737
55.000000000000	-2.1841677248303
60.000000000000	-2.9904141417663
65.000000000000	-4.5436888672048
70.000000000000	-6.6897580214349
75.000000000000	-8.5978060077892
80.000000000000	-11.482923258612
85.000000000000	-12.519228209011
90.000000000000	-15.182904776507
95.000000000000	-14.466520086417
100.00000000000	-17.022354130597
105.00000000000	-15.636157469936
110.00000000000	-19.229754890128
115.00000000000	-17.598348521527
120.00000000000	-20.687687856776
125.00000000000	-15.924418486388
130.00000000000	-14.929732496334
135.00000000000	-16.054693299568
140.00000000000	-12.302251272429
145.00000000000	-18.796519998832
150.00000000000	-19.204912378492
155.00000000000	-16.601947571687
160.00000000000	-19.704010971229
165.00000000000	-9.7889503297334
170.00000000000	-5.9167321810360
175.00000000000	-5.1183857179295
180.00000000000	-5.9894265902667
