#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90 RHCP (Port 1, 5.3 GHz) []"
#------------------------------------------------
-180.00000000000	-25.655681842020
-175.00000000000	-11.867863463929
-170.00000000000	-7.6348392558823
-165.00000000000	-7.0940705490152
-160.00000000000	-10.290431047098
-155.00000000000	-22.797132909965
-150.00000000000	-16.454672858405
-145.00000000000	-13.753493009321
-140.00000000000	-14.003990727767
-135.00000000000	-12.456705270817
-130.00000000000	-13.428363365233
-125.00000000000	-14.545952725962
-120.00000000000	-15.518001907443
-115.00000000000	-14.507605164151
-110.00000000000	-13.799972775849
-105.00000000000	-12.060166963316
-100.00000000000	-11.930851457110
-95.000000000000	-11.033334441765
-90.000000000000	-11.173085207675
-85.000000000000	-10.343593262889
-80.000000000000	-9.6909825985396
-75.000000000000	-8.4429318762196
-70.000000000000	-7.1444542723170
-65.000000000000	-6.1286496924082
-60.000000000000	-4.6116405332550
-55.000000000000	-3.4373318961182
-50.000000000000	-1.7235668209729
-45.000000000000	0.38550088687485
-40.000000000000	2.2777591354982
-35.000000000000	3.9317254581968
-30.000000000000	5.2598426807207
-25.000000000000	6.1776113691610
-20.000000000000	6.9517906422985
-15.000000000000	8.1079527707616
-10.000000000000	9.8168828128367
-5.0000000000000	11.620877968832
0.0000000000000	13.010989896295
5.0000000000000	13.730624951579
10.000000000000	13.684450311272
15.000000000000	12.833518086231
20.000000000000	11.144017932754
25.000000000000	8.5600945887595
30.000000000000	5.0203028593841
35.000000000000	0.78433551536578
40.000000000000	-2.3397478269506
45.000000000000	-2.6020479900814
50.000000000000	-2.2769776838597
55.000000000000	-2.5531693523393
60.000000000000	-3.2451295022399
65.000000000000	-4.8637815229731
70.000000000000	-6.5201291753075
75.000000000000	-8.5444721473795
80.000000000000	-10.894290441299
85.000000000000	-12.022128385946
90.000000000000	-14.554858248490
95.000000000000	-13.878498597393
100.00000000000	-16.810268283619
105.00000000000	-15.214648145706
110.00000000000	-19.352901047246
115.00000000000	-17.030072590607
120.00000000000	-20.587304593420
125.00000000000	-16.395391310867
130.00000000000	-16.335605801746
135.00000000000	-17.237447673391
140.00000000000	-14.777060874323
145.00000000000	-22.201432333822
150.00000000000	-18.472206485439
155.00000000000	-18.014442461334
160.00000000000	-27.474507396795
165.00000000000	-15.149950940368
170.00000000000	-12.644872896377
175.00000000000	-16.085807245456
180.00000000000	-25.655681842020
