#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90 LHCP (Port 2, 5.0 GHz) []"
#------------------------------------------------
-180.00000000000	-27.777068186036
-175.00000000000	-17.609003023510
-170.00000000000	-13.520848265177
-165.00000000000	-11.923855243290
-160.00000000000	-12.723569418283
-155.00000000000	-17.374256156809
-150.00000000000	-27.652200962813
-145.00000000000	-16.670733126240
-140.00000000000	-15.000086244691
-135.00000000000	-18.342366840213
-130.00000000000	-17.180914714308
-125.00000000000	-16.817218804011
-120.00000000000	-23.008077920750
-115.00000000000	-18.246096937028
-110.00000000000	-21.149335487124
-105.00000000000	-17.728132825828
-100.00000000000	-16.746909876331
-95.000000000000	-17.260534981098
-90.000000000000	-14.483450280146
-85.000000000000	-15.732963307622
-80.000000000000	-13.126927478226
-75.000000000000	-12.047429664509
-70.000000000000	-10.439027249895
-65.000000000000	-7.7941108193583
-60.000000000000	-6.3146976196234
-55.000000000000	-4.4387923430700
-50.000000000000	-3.0615961577404
-45.000000000000	-2.4251390148317
-40.000000000000	-1.7820224219116
-35.000000000000	-0.45867310221062
-30.000000000000	2.1772554010988
-25.000000000000	5.4951275811226
-20.000000000000	8.5642697507569
-15.000000000000	10.996369434149
-10.000000000000	12.697092369016
-5.0000000000000	13.661314317559
0.0000000000000	13.896106781992
5.0000000000000	13.394580273379
10.000000000000	12.123423017157
15.000000000000	10.004807772469
20.000000000000	6.8800870080351
25.000000000000	2.4703846349234
30.000000000000	-3.2903462030264
35.000000000000	-6.7321942684865
40.000000000000	-5.0465507898507
45.000000000000	-3.8542032543459
50.000000000000	-4.2669709407533
55.000000000000	-5.5062772802616
60.000000000000	-7.0672389555345
65.000000000000	-9.7106294437487
70.000000000000	-11.998505439247
75.000000000000	-14.699726269824
80.000000000000	-17.079735231380
85.000000000000	-18.132526704293
90.000000000000	-20.784052140731
95.000000000000	-19.363458602589
100.00000000000	-23.208042501061
105.00000000000	-21.309624037306
110.00000000000	-24.982538470716
115.00000000000	-24.166418968330
120.00000000000	-23.730435793951
125.00000000000	-23.535098054345
130.00000000000	-18.237605932206
135.00000000000	-25.098515771485
140.00000000000	-19.557789741788
145.00000000000	-19.776236134335
150.00000000000	-27.200635093015
155.00000000000	-14.484336037053
160.00000000000	-11.567526038473
165.00000000000	-12.321618145666
170.00000000000	-15.933231416266
175.00000000000	-24.357043843956
180.00000000000	-27.777068186036
