#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90 RHCP (Port 2, 5.3 GHz) []"
#------------------------------------------------
-180.00000000000	-6.6271519902701
-175.00000000000	-6.3879969508762
-170.00000000000	-8.1776018556491
-165.00000000000	-12.514623894317
-160.00000000000	-20.914271813201
-155.00000000000	-29.914160520249
-150.00000000000	-27.294273854473
-145.00000000000	-17.602219449815
-140.00000000000	-17.443748781372
-135.00000000000	-26.287924961044
-130.00000000000	-19.736796421325
-125.00000000000	-28.449137068101
-120.00000000000	-22.412426092175
-115.00000000000	-25.874095600614
-110.00000000000	-20.683748625799
-105.00000000000	-20.939083717032
-100.00000000000	-21.185589992197
-95.000000000000	-20.619170475303
-90.000000000000	-22.644717009942
-85.000000000000	-21.061348729457
-80.000000000000	-22.463335422525
-75.000000000000	-20.090775095781
-70.000000000000	-21.647842983195
-65.000000000000	-18.253058799975
-60.000000000000	-15.289358643099
-55.000000000000	-12.370057235445
-50.000000000000	-8.4020752905761
-45.000000000000	-5.9285853192822
-40.000000000000	-4.1603962363485
-35.000000000000	-2.6349440529238
-30.000000000000	-2.0855167955368
-25.000000000000	-2.7184956819364
-20.000000000000	-4.5136918470069
-15.000000000000	-7.3225032855913
-10.000000000000	-8.6656228357223
-5.0000000000000	-6.5348888659460
0.0000000000000	-4.7611403896022
5.0000000000000	-4.6808997721850
10.000000000000	-6.5657052273597
15.000000000000	-10.925035751898
20.000000000000	-13.751861823935
25.000000000000	-9.2583018670193
30.000000000000	-6.5379347112912
35.000000000000	-5.4096370866386
40.000000000000	-5.3024781952218
45.000000000000	-6.4357701200137
50.000000000000	-8.2089512053896
55.000000000000	-10.360556049106
60.000000000000	-14.101656553360
65.000000000000	-16.868945632884
70.000000000000	-20.017818857354
75.000000000000	-23.383583843836
80.000000000000	-20.675258490255
85.000000000000	-23.962963352921
90.000000000000	-20.443263137781
95.000000000000	-22.339795645837
100.00000000000	-19.389465886463
105.00000000000	-20.448121308802
110.00000000000	-20.083428163944
115.00000000000	-21.680715461274
120.00000000000	-23.346258223820
125.00000000000	-23.465989200630
130.00000000000	-19.112456400159
135.00000000000	-18.568201649087
140.00000000000	-16.248251321254
145.00000000000	-15.482539365718
150.00000000000	-26.510573522331
155.00000000000	-18.099289171441
160.00000000000	-15.231885225756
165.00000000000	-22.442705165521
170.00000000000	-16.423494020894
175.00000000000	-9.2363443796470
180.00000000000	-6.6271519902701
