#Parameters = {chamferAngle=45; chamferWidth=23; feedLength=30; outletLength=30; polarizerLength=126; waveguideSide=50; waveguideThickness=3}
#"Theta / deg"	"RHCP (mode 1, phi=90) []"
#----------------------------------------
-180.00000000000	-46.181181032029
-175.00000000000	-38.345379619453
-170.00000000000	-30.073632623756
-165.00000000000	-25.099737418962
-160.00000000000	-22.660444712008
-155.00000000000	-22.736812694546
-150.00000000000	-26.321378742733
-145.00000000000	-26.958196335609
-140.00000000000	-19.517709794344
-135.00000000000	-15.842167210141
-130.00000000000	-14.755347258814
-125.00000000000	-15.208171751124
-120.00000000000	-15.492917093582
-115.00000000000	-14.691832443264
-110.00000000000	-14.025405147902
-105.00000000000	-13.804267188041
-100.00000000000	-13.290942899184
-95.000000000000	-12.227315724318
-90.000000000000	-10.972788991523
-85.000000000000	-9.6925246515340
-80.000000000000	-8.2746903752248
-75.000000000000	-6.6272670139817
-70.000000000000	-4.9120848990463
-65.000000000000	-3.2726440813312
-60.000000000000	-1.6462074440967
-55.000000000000	-0.0073485726173370
-50.000000000000	1.5489520543814
-45.000000000000	2.9762516161129
-40.000000000000	4.2980494973834
-35.000000000000	5.5170590601954
-30.000000000000	6.6016274883075
-25.000000000000	7.5263831642054
-20.000000000000	8.2855904889852
-15.000000000000	8.8807880785358
-10.000000000000	9.3108700717317
-5.0000000000000	9.5716642710008
0.0000000000000	9.6591156380124
5.0000000000000	9.5716646013629
10.000000000000	9.3108699458246
15.000000000000	8.8807869955040
20.000000000000	8.2855896992929
25.000000000000	7.5263820330988
30.000000000000	6.6016255258623
35.000000000000	5.5170557592059
40.000000000000	4.2980455739761
45.000000000000	2.9762498898653
50.000000000000	1.5489495384076
55.000000000000	-0.0073517342203809
60.000000000000	-1.6462100368790
65.000000000000	-3.2726505359326
70.000000000000	-4.9120878577761
75.000000000000	-6.6272719968697
80.000000000000	-8.2746952090955
85.000000000000	-9.6925289855094
90.000000000000	-10.972789643665
95.000000000000	-12.227314004236
100.00000000000	-13.290940114735
105.00000000000	-13.804260995505
110.00000000000	-14.025397515388
115.00000000000	-14.691823452170
120.00000000000	-15.492908447777
125.00000000000	-15.208160775202
130.00000000000	-14.755334272531
135.00000000000	-15.842156078412
140.00000000000	-19.517690546535
145.00000000000	-26.958142871750
150.00000000000	-26.321363149884
155.00000000000	-22.736805164021
160.00000000000	-22.660438372324
165.00000000000	-25.099738476442
170.00000000000	-30.073669248958
175.00000000000	-38.345450620565
180.00000000000	-46.181181032029
